Number,Type,Release date,Source,Short,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/Mh
35,GPU,4/6/2017,https://www.techspot.com/article/1438-ethereum-mining-gpu-benchmark/%20&%20,TITAN,5/7/2018,NVIDIA,GeForce Titan Xp,31,250,0.12,8.116883117
36,GPU,4/18/2017,https://www.cryptocompare.com/mining/amd/asus-rog-strix-radeon-rx-570-o4g/,570,5/7/2018,AMD,Radeon RX 570,22,115,0.19,5.227272727
37,GPU,4/18/2017,https://www.buriedone.com/hashrates.html,580,5/7/2018,AMD,Radeon RX 580,30,185,0.16,6.166666667
38,GPU,4/20/2017,https://www.buriedone.com/hashrates.html,550,5/7/2018,AMD,Radeon RX 550,11,50,0.22,4.545454545
39,GPU,7/1/2017,https://www.buriedone.com/hashrates.html,VEGA,5/7/2018,AMD,Radeon RX Vega Frontier Edition,37,300,0.12,8.108108108
40,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,VEGA,5/7/2018,AMD,Radeon RX Vega 64,40,295,0.14,7.375
41,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,VEGA,5/7/2018,AMD,Radeon RX Vega 64 Liquid,44,345,0.13,7.840909091
42,GPU,8/28/2017,https://www.buriedone.com/hashrates.html,VEGA,5/7/2018,AMD,Radeon RX Vega 56,37,210,0.18,5.675675676
43,GPU,11/2/2017,https://www.buriedone.com/hashrates.html,1070TI,5/7/2018,NVIDIA,GeForce GTX 1070 Ti,32,150,0.21,4.6875
44,GPU,12/13/2017,https://www.techradar.com/news/nvidias-titan-v-is-a-massively-powerful-gpu-for-cryptocurrency-mining,TITAN,5/7/2018,NVIDIA,GTX Titan V,77,237,0.32,3.077922078
45,GPU,7/9/2019,https://tweakers.net/nieuws/154656/nvidia-brengt-geforce-rtx-2070-en-2060-super-op-9-juli-uit.html ; https://www.buriedone.com/gpu-hashrates,2070,12/20/2019,NVIDIA,RTX 2070 SUPER,42,215,0.20,5.119047619
46,GPU,7/9/2019,https://tweakers.net/nieuws/154656/nvidia-brengt-geforce-rtx-2070-en-2060-super-op-9-juli-uit.html ; https://www.buriedone.com/gpu-hashrates,2060,12/20/2019,NVIDIA,RTX 2060 SUPER,42,175,0.24,4.166666667
47,GPU,4/23/2019,https://en.wikipedia.org/wiki/GeForce_16_series ; https://www.buriedone.com/gpu-hashrates,1650,12/20/2019,NVIDIA,GTX 1650 4GB,15,75,0.20,5
48,GPU,12/18/2018,https://en.wikipedia.org/wiki/GeForce_20_series ; https://www.buriedone.com/gpu-hashrates,TITAN,12/20/2019,NVIDIA,TITAN RTX,63,280,0.23,4.444444444
49,GPU,2/7/2019,https://en.wikipedia.org/wiki/Radeon_RX_Vega_series ; https://www.buriedone.com/gpu-hashrates,VII,12/20/2019,AMD,Radeon VII,91,300,0.30,3.296703297
50,GPU,6/21/2017,https://en.wikipedia.org/wiki/Nvidia_Tesla ; https://www.buriedone.com/gpu-hashrates,V100,12/20/2019,NVIDIA,V100 16GB,95,250,0.38,2.631578947
51,GPU,9/27/2018,https://en.wikipedia.org/wiki/GeForce_20_series ; https://www.buriedone.com/gpu-hashrates,2080TI,12/20/2019,NVIDIA,RTX 2080 Ti 11GB,52,250,0.21,4.807692308
