Date,EECI
2018/6/06,19.89551764
2018/6/07,19.9685498
2018/6/08,19.9974138
2018/6/09,20.02586665
2018/6/10,20.04890186
2018/6/11,20.1137266
2018/6/12,20.13302418
2018/6/13,20.19177175
2018/6/14,20.25092763
2018/6/15,20.26534976
2018/6/16,20.32141457
2018/6/17,20.37761767
2018/6/18,20.43219793
2018/6/19,20.48821719
2018/6/20,20.50320731
2018/6/21,20.56017202
2018/6/22,20.61227291
2018/6/23,20.66353614
2018/6/24,20.70800996
2018/6/25,20.71968719
2018/6/26,20.7675955
2018/6/27,20.80839562
2018/6/28,20.84244028
2018/6/29,20.83743501
2018/6/30,20.86448278
2018/7/01,20.89823592
2018/7/02,20.93094101
2018/7/03,20.92635893
2018/7/04,20.94922116
2018/7/05,20.97262888
2018/7/06,20.99133242
2018/7/07,20.98116416
2018/7/08,20.99923019
2018/7/09,21.01011719
2018/7/10,20.98873111
2018/7/11,20.97725216
2018/7/12,20.95226653
2018/7/13,20.93237127
2018/7/14,20.90942106
2018/7/15,20.886508
2018/7/16,20.88320186
2018/7/17,20.86548164
2018/7/18,20.85149509
2018/7/19,20.83581704
2018/7/20,20.81741274
2018/7/21,20.80083839
2018/7/22,20.7871187
2018/7/23,20.80543789
2018/7/24,20.79210909
2018/7/25,20.77824468
2018/7/26,20.76591219
2018/7/27,20.75477532
2018/7/28,20.7431838
2018/7/29,20.73036381
2018/7/30,20.74434385
2018/7/31,20.73031199
2018/8/01,20.71578159
2018/8/02,20.70135219
2018/8/03,20.71872107
2018/8/04,20.74140886
2018/8/05,20.72996342
2018/8/06,20.75539771
2018/8/07,20.78471414
2018/8/08,20.76845026
2018/8/09,20.78251399
2018/8/10,20.79470333
2018/8/11,20.80299082
2018/8/12,20.78157214
2018/8/13,20.79326078
2018/8/14,20.80287749
2018/8/15,20.8137009
2018/8/16,20.78717268
2018/8/17,20.79425329
2018/8/18,20.7982892
2018/8/19,20.7675823
2018/8/20,20.76190917
2018/8/21,20.75115264
2018/8/22,20.71436686
2018/8/23,20.70142375
2018/8/24,20.69135741
2018/8/25,20.67974348
2018/8/26,20.6428871
2018/8/27,20.63342595
2018/8/28,20.62024569
2018/8/29,20.58283061
2018/8/30,20.56576384
2018/8/31,20.54727967
2018/9/01,20.50696709
2018/9/02,20.48168458
2018/9/03,20.45319133
2018/9/04,20.41191285
2018/9/05,20.3922841
2018/9/06,20.34010281
2018/9/07,20.29277548
2018/9/08,20.24060454
2018/9/09,20.19039348
2018/9/10,20.14400876
2018/9/11,20.09924058
2018/9/12,20.05446685
2018/9/13,20.01328745
2018/9/14,19.96417797
2018/9/15,19.91773368
2018/9/16,19.87781399
2018/9/17,19.83075297
2018/9/18,19.78047268
2018/9/19,19.7351181
2018/9/20,19.68382737
2018/9/21,19.63321775
2018/9/22,19.59102279
2018/9/23,19.54169614
2018/9/24,19.49060071
2018/9/25,19.44440752
2018/9/26,19.38976338
2018/9/27,19.33518154
2018/9/28,19.28988028
2018/9/29,19.22779261
2018/9/30,19.16667867
2018/10/01,19.12143794
2018/10/02,19.07499797
2018/10/03,19.03798681
2018/10/04,19.0086428
2018/10/05,18.98874896
2018/10/06,18.96392591
2018/10/07,18.95658126
2018/10/08,18.95870434
2018/10/09,18.94589905
2018/10/10,18.95955577
2018/10/11,18.94959691
2018/10/12,18.96436847
2018/10/13,18.97990043
2018/10/14,18.96933432
2018/10/15,18.98323241
2018/10/16,18.97262866
2018/10/17,18.98765669
2018/10/18,18.99881647
2018/10/19,18.98469954
2018/10/20,18.99413589
2018/10/21,19.00037094
2018/10/22,18.98299177
2018/10/23,18.98360443
2018/10/24,18.96199829
2018/10/25,18.94502111
2018/10/26,18.92441485
2018/10/27,18.89484535
2018/10/28,18.87767307
2018/10/29,18.84986706
2018/10/30,18.82747715
2018/10/31,18.94483457
2018/11/01,19.09462196
2018/11/02,19.2934623
2018/11/03,19.18967355
2018/11/04,19.76092477
2018/11/05,19.84395022
2018/11/06,20.1826287
2018/11/07,19.87831184
2018/11/08,19.39221371
2018/11/09,19.07599604
2018/11/10,19.03307008
2018/11/11,18.89453057
2018/11/12,18.86431884
2018/11/13,18.59781826
2018/11/14,17.04315452
2018/11/15,15.92396787
2018/11/16,15.84221294
2018/11/17,15.60451
2018/11/18,15.69805448
2018/11/19,13.78356298
2018/11/20,12.17570194
2018/11/21,12.09411242
2018/11/22,11.66594419
2018/11/23,11.035526
2018/11/24,10.62237121
2018/11/25,9.982292723
2018/11/26,9.920963919
2018/11/27,9.638513025
2018/11/28,10.3349308
2018/11/29,9.940709628
2018/11/30,9.587050507
2018/12/01,9.866299246
2018/12/02,9.756327134
2018/12/03,9.222796296
2018/12/04,9.248776989
2018/12/05,8.802769268
2018/12/06,8.093769415
2018/12/07,7.473500085
2018/12/08,7.577340759
2018/12/09,7.867677307
2018/12/10,7.64367826
2018/12/11,7.422672857
2018/12/12,7.588253593
2018/12/13,7.41559426
2018/12/14,7.131472907
2018/12/15,7.075602786
2018/12/16,7.285014256
2018/12/17,7.699212391
2018/12/18,8.150349661
2018/12/19,8.711889295
2018/12/20,9.347979178
2018/12/21,9.455293776
2018/12/22,9.685728186
2018/12/23,9.64
2018/12/24,9.620405613
2018/12/25,9.208218621
2018/12/26,9.244172351
2018/12/27,8.628542009
2018/12/28,9.15739459
2018/12/29,9.786570156
2018/12/30,9.827559174
2018/12/31,9.629062779
2019/1/01,9.77167041
2019/1/02,10.28254171
2019/1/03,10.15117072
2019/1/04,10.35697418
2019/1/05,10.48615732
2019/1/06,10.3696743
2019/1/07,10.27311881
2019/1/08,10.14817752
2019/1/09,10.23608589
2019/1/10,8.984969803
2019/1/11,8.772232488
2019/1/12,8.757458659
2019/1/13,8.514729752
2019/1/14,8.4914835
2019/1/15,8.458810071
2019/1/16,8.274098882
2019/1/17,8.203464967
2019/1/18,8.160133507
2019/1/19,8.3399213
2019/1/20,8.102647291
2019/1/21,7.896340308
2019/1/22,7.939848124
2019/1/23,7.942387661
2019/1/24,7.862603871
2019/1/25,7.802544063
2019/1/26,7.845316045
2019/1/27,7.707043955
2019/1/28,7.098794305
2019/1/29,7.033095945
2019/1/30,7.251012068
2019/1/31,7.239598745
2019/2/01,7.19937238
2019/2/02,7.265250745
2019/2/03,7.258145394
2019/2/04,7.190784417
2019/2/05,7.138976887
2019/2/06,6.954909097
2019/2/07,7.024452034
2019/2/08,7.446521154
2019/2/09,7.737141254
2019/2/10,7.906746573
2019/2/11,8.116242572
2019/2/12,8.143377185
2019/2/13,8.237788855
2019/2/14,8.188163284
2019/2/15,8.226683243
2019/2/16,8.297792714
2019/2/17,8.631016956
2019/2/18,9.33592945
2019/2/19,9.8294717
2019/2/20,9.874537538
2019/2/21,9.844717438
2019/2/22,9.96948071
2019/2/23,10.23844907
2019/2/24,9.888916085
2019/2/25,9.324348287
2019/2/26,9.171807003
2019/2/27,9.231027597
2019/2/28,9.12503476
2019/3/01,9.141595266
2019/3/02,9.005446646
2019/3/03,8.93181953
2019/3/04,8.534982803
2019/3/05,8.9904247
2019/3/06,9.289856558
2019/3/07,9.283058918
2019/3/08,9.191780315
2019/3/09,9.270079058
2019/3/10,9.194857435
2019/3/11,9.017978921
2019/3/12,8.950002519
2019/3/13,8.876934879
2019/3/14,8.914923337
2019/3/15,9.087316715
2019/3/16,9.362912675
2019/3/17,9.293241389
2019/3/18,9.320459924
2019/3/19,9.306193273
2019/3/20,9.290416033
2019/3/21,9.196004363
2019/3/22,9.195360965
2019/3/23,9.221180807
2019/3/24,9.180059281
2019/3/25,9.112670329
2019/3/26,9.064051816
2019/3/27,9.28009369
2019/3/28,9.28711512
2019/3/29,9.429641776
